GEO_ID,NAME,P_Total_HH_SingleFamily,P_Total_HH_W.MinorsSingleFamily,P_Total_IAP_B,P_Total_IAP_W,P_Total_IBP_B,P_Total_IBP_W,Male_FT_Median_Earnings,Female_FT_Median_Earnings,Male_FT_Median_Earnings_B,Female_FT_Median_Earnings_B,Male_FT_Median_Earnings_W,Female_FT_Median_Earnings_W,Male_Other_Median_Earnings,Female_Other_Median_Earnings,Male_Other_Median_Earnings_B,Female_Other_Median_Earnings_B,Male_Other_Median_Earnings_W,Female_Other_Median_Earnings_W,Total_Unemployment_Rate,P_Total_Car_truck_van_B,P_Total_Car_truck_van_W,P_Total_HHOnSNAP_W.MinorsSingleFamily
0500000US28141,"Tishomingo County, Mississippi",16.80252432,8.677359979,89.87341772,81.42193054,10.12658228,18.57806946,35610,26377,NA,20855,36140,26536,10792,7272,NA,2500,10390,7380,10.76679484,84.31372549,96.27045881,8.677359979
0500000US28143,"Tunica County, Mississippi",35.52598544,26.76374592,69.99750187,85.13582778,30.00249813,14.86417222,33140,27831,31250,25930,43795,35250,NA,11934,NA,9425,NA,28676,10.15141821,95.49577729,92.2814983,26.76374592
0500000US28145,"Union County, Mississippi",18.76699909,10.75853732,72.01756526,83.26057239,27.98243474,16.73942761,34165,30757,25943,21784,36129,32178,9054,11581,17174,8571,7406,12507,8.323424495,99.0990991,96.50883244,10.75853732
0500000US28147,"Walthall County, Mississippi",18.92258174,13.06115534,63.44410876,82.61964736,36.55589124,17.38035264,34805,27798,33214,21163,35635,31493,13159,10062,10743,9230,21369,11007,6.687951605,98.07606264,90.81467056,13.06115534
0500000US28149,"Warren County, Mississippi",21.87617867,13.96626973,63.49811497,90.41635326,36.50188503,9.583646741,42463,31644,32206,25275,51193,39342,11708,10336,10656,10625,14933,9414,7.920932878,96.01518027,96.52700656,13.96626973
0500000US28151,"Washington County, Mississippi",31.78256343,20.42851663,58.96616431,84.49505592,41.03383569,15.50494408,37891,29120,31777,27557,50598,35492,11104,10369,9007,10064,16806,11930,16.74479293,97.354256,97.11799891,20.42851663
0500000US28153,"Wayne County, Mississippi",22.49420253,12.75444473,53.6827891,90.80400719,46.3172109,9.195992808,40947,27003,31034,24086,51148,34788,21075,10545,NA,7893,NA,14220,10.43747847,88.45331433,84.90444492,12.75444473
0500000US28155,"Webster County, Mississippi",21.03071317,13.95106715,51.4957265,80.72366727,48.5042735,19.27633273,41919,36149,31889,36250,42238,36093,8918,7174,4063,6607,9778,7355,9.3871218,98.7473904,93.98132134,13.95106715
0500000US28157,"Wilkinson County, Mississippi",28.14018043,15.92643997,51.10872675,85.28541226,48.89127325,14.71458774,40893,30381,40114,30102,45211,32171,7339,8542,11164,9699,5542,3641,12.4535316,98.9747095,96.74479167,15.92643997
0500000US28159,"Winston County, Mississippi",25.40817703,15.43651329,62.87664783,84.75722859,37.12335217,15.24277141,36178,30293,25790,22655,46759,37361,10878,9026,13279,7220,9460,10326,9.872886585,93.42061094,95.74136588,15.43651329
0500000US28161,"Yalobusha County, Mississippi",24.17244034,15.05003849,71.89100594,81.31699847,28.10899406,18.68300153,35180,27197,30563,25930,40549,30315,8062,10331,6094,11068,8354,9006,5.314183124,98.93862483,98.93580501,15.05003849
0500000US28163,"Yazoo County, Mississippi",32.33047906,23.76764638,53.1113378,81.20386144,46.8886622,18.79613856,36031,33984,29659,26417,44280,40503,7659,10569,4492,8407,NA,12043,15.86803678,96.59230203,96.4819701,23.76764638
